Department,Host,IP Address,OS,Function
Sales,was-sales-app,10.118.106.136,Windows,application
Research,por-res-rtr,172.213.140.60,Cisco,router
Security,was-sec-fw,192.80.245.231,Juniper,firewall
Sales,chi-sales-db,10.224.94.181,MySQL,database
Security,por-sec-rtr,172.194.233.166,Cisco,router
InformationTech,was-it-db,192.25.143.16,MS SQL,database
Marketing,por-mkt-db,10.23.210.106,MariaDB,database
InformationTech,por-it-fw,10.106.82.204,Checkpoint,firewall
Security,was-sec-fw,172.84.181.163,Juniper,firewall
Marketing,was-mkt-sw,192.3.15.196,Fortinet,switch
Marketing,chi-mkt-web,10.175.253.113,Windows,web
Security,chi-sec-rtr,10.23.119.157,Cisco,router
Sales,por-sales-db,172.119.87.254,MS SQL,database
Sales,por-sales-web,192.247.72.58,Windows,web
Sales,was-sales-sw,192.207.251.28,Brocade,switch
Sales,chi-sales-app,10.138.85.156,Linux,application
Research,por-res-rtr,192.163.123.49,Juniper,router
Research,por-res-sw,172.20.67.137,Brocade,switch
Security,mia-sec-fw,10.164.4.102,Cisco,firewall
Security,chi-sec-sw,10.253.51.135,Brocade,switch
InformationTech,chi-it-fw,10.114.2.123,Juniper,firewall
Finance,was-fin-sw,192.78.150.158,Fortinet,switch
Security,chi-sec-web,192.87.194.11,Linux,web
Security,mia-sec-fw,10.186.42.234,Cisco,firewall
Research,por-res-rtr,172.102.122.230,Juniper,router
Sales,chi-sales-rtr,192.178.79.232,Juniper,router
Research,chi-res-web,192.72.215.109,Mac,web
Security,was-sec-app,10.191.201.223,Windows,application
Research,chi-res-fw,172.33.21.244,Checkpoint,firewall
Research,was-res-web,172.194.119.75,Mac,web
InformationTech,chi-it-rtr,172.40.149.117,Fortinet,router
InformationTech,was-it-sw,10.193.21.167,Juniper,switch
Security,was-sec-rtr,172.30.135.15,Fortinet,router
Marketing,chi-mkt-sw,172.22.86.122,Cisco,switch
InformationTech,was-it-rtr,10.80.75.196,Cisco,router
Research,mia-res-db,192.176.150.147,Oracle,database
Finance,chi-fin-fw,172.53.0.61,Fortinet,firewall
Sales,por-sales-rtr,192.213.5.40,Juniper,router
Security,chi-sec-app,192.254.171.8,Linux,application
InformationTech,was-it-sw,192.15.110.3,Cisco,switch
Sales,por-sales-app,172.97.58.72,Linux,application
Security,por-sec-fw,10.66.240.6,Checkpoint,firewall
Sales,mia-sales-sw,10.35.114.189,Fortinet,switch
Finance,was-fin-sw,192.128.122.57,Brocade,switch
Sales,por-sales-db,192.72.226.253,MySQL,database
Security,was-sec-db,172.73.29.132,MariaDB,database
Security,mia-sec-app,172.230.43.194,Mac,application
Research,mia-res-rtr,192.176.241.14,Fortinet,router
Research,was-res-rtr,192.180.87.170,Fortinet,router
Finance,chi-fin-db,10.63.196.220,MySQL,database
Security,was-sec-rtr,192.52.200.2,Juniper,router
Finance,chi-fin-db,172.44.224.179,Oracle,database
Research,was-res-app,10.209.106.64,Mac,application
Sales,mia-sales-db,192.65.36.169,MS SQL,database
Finance,por-fin-sw,172.151.204.22,Cisco,switch
Sales,por-sales-sw,172.89.106.160,Fortinet,switch
Sales,chi-sales-sw,192.238.142.251,Cisco,switch
Research,mia-res-sw,172.198.234.118,Fortinet,switch
Sales,chi-sales-app,10.40.55.200,Linux,application
Research,was-res-fw,192.235.170.149,Cisco,firewall
Security,chi-sec-db,10.159.250.210,Postgres,database
Finance,mia-fin-db,10.54.63.145,MariaDB,database
Security,chi-sec-app,10.247.56.51,Windows,application
Sales,was-sales-app,192.83.132.78,Mac,application
Research,was-res-sw,10.68.59.160,Brocade,switch
Finance,por-fin-app,172.151.135.149,Mac,application
InformationTech,por-it-fw,10.236.169.170,Fortinet,firewall
Sales,por-sales-fw,192.71.32.239,Juniper,firewall
InformationTech,was-it-web,10.37.149.49,Mac,web
InformationTech,was-it-db,10.112.83.89,MySQL,database
Security,was-sec-rtr,192.131.233.62,Cisco,router
Marketing,was-mkt-db,192.239.42.105,MySQL,database
Security,was-sec-fw,172.82.171.225,Checkpoint,firewall
Finance,mia-fin-rtr,192.254.76.157,Fortinet,router
Security,chi-sec-db,172.198.82.161,Oracle,database
Sales,por-sales-fw,192.53.27.251,Juniper,firewall
Research,mia-res-web,10.110.83.60,Mac,web
Marketing,phx-mkt-app,192.22.39.29,Mac,application
Research,hou-res-sw,10.241.66.53,Cisco,switch
Research,phx-res-rtr,172.125.81.184,Cisco,router
Marketing,hou-mkt-web,172.99.42.85,Linux,web
Research,hnl-res-db,192.95.6.92,MariaDB,database
InformationTech,hou-it-web,192.59.89.34,Mac,web
Finance,phx-fin-app,10.114.85.121,Linux,application
Sales,hou-sales-fw,10.138.161.208,Cisco,firewall
Finance,phx-fin-db,172.184.79.11,MS SQL,database
Research,hnl-res-web,192.172.153.40,Windows,web
Security,hnl-sec-sw,192.122.216.111,Juniper,switch
Marketing,lv-mkt-web,10.176.162.178,Mac,web
Security,hnl-sec-db,10.208.0.134,MySQL,database
Finance,hnl-fin-web,192.222.182.169,Mac,web
Marketing,phx-mkt-web,10.215.160.127,Windows,web
Security,hou-sec-rtr,10.135.93.184,Juniper,router
InformationTech,phx-it-db,10.150.43.189,Oracle,database
Finance,hou-fin-rtr,172.58.246.154,Fortinet,router
Sales,phx-sales-fw,192.38.165.188,Checkpoint,firewall
Security,lv-sec-web,10.87.149.187,Windows,web
Research,lv-res-fw,10.13.64.82,Cisco,firewall
Finance,hou-fin-fw,172.12.184.116,Juniper,firewall
Marketing,hou-mkt-web,10.89.251.249,Mac,web
Research,hnl-res-app,192.180.3.60,Linux,application
Sales,hou-sales-sw,172.203.14.135,Cisco,switch
Finance,phx-fin-db,172.242.59.51,Postgres,database
Sales,lv-sales-fw,172.134.42.112,Cisco,firewall
Sales,hou-sales-db,10.37.203.70,MS SQL,database
Security,hnl-sec-app,192.207.87.12,Windows,application
Research,hnl-res-db,192.95.25.210,Oracle,database
Research,hou-res-app,172.219.89.94,Windows,application
Sales,hnl-sales-db,172.118.195.157,MariaDB,database
Research,hou-res-sw,172.37.29.76,Brocade,switch
Security,phx-sec-web,10.206.246.249,Linux,web
Sales,hnl-sales-db,172.16.91.1,MySQL,database
Finance,hou-fin-fw,10.249.106.20,Checkpoint,firewall
Security,hou-sec-fw,192.158.10.177,Fortinet,firewall
Sales,hnl-sales-app,10.240.57.254,Windows,application
Security,hnl-sec-sw,192.155.213.12,Cisco,switch
Finance,hnl-fin-rtr,10.6.20.198,Juniper,router
Marketing,hnl-mkt-fw,172.132.121.245,Juniper,firewall
Marketing,hou-mkt-sw,192.82.22.186,Fortinet,switch
Finance,hnl-fin-app,10.226.85.163,Linux,application
Research,lv-res-web,172.225.211.79,Mac,web
Research,hou-res-sw,172.222.13.118,Fortinet,switch
Marketing,hou-mkt-fw,172.115.28.4,Fortinet,firewall
Sales,hou-sales-db,192.52.11.205,Oracle,database
Security,lv-sec-web,172.126.164.243,Windows,web
Sales,hnl-sales-fw,192.174.177.124,Juniper,firewall
Finance,hou-fin-rtr,10.150.32.76,Cisco,router
Marketing,hnl-mkt-db,192.80.20.190,MS SQL,database
Finance,phx-fin-db,10.6.97.27,MS SQL,database
Marketing,hou-mkt-fw,10.50.68.153,Checkpoint,firewall
Sales,phx-sales-db,10.146.251.53,Postgres,database
Security,hou-sec-rtr,172.177.132.30,Fortinet,router
Marketing,phx-mkt-fw,172.109.154.232,Juniper,firewall
Marketing,lv-mkt-web,172.254.170.29,Windows,web
Sales,hnl-sales-db,10.179.182.143,MySQL,database
Finance,hou-fin-web,172.178.196.114,Mac,web
Research,hou-res-rtr,10.115.55.170,Fortinet,router
InformationTech,lv-it-fw,172.209.118.52,Cisco,firewall
InformationTech,hnl-it-rtr,172.152.83.107,Fortinet,router
Research,hou-res-rtr,192.134.202.40,Cisco,router
Sales,hou-sales-rtr,192.38.127.9,Fortinet,router
Marketing,phx-mkt-db,172.197.86.16,MS SQL,database
Marketing,hou-mkt-web,10.144.163.233,Linux,web
Research,hnl-res-app,10.153.131.23,Mac,application
Marketing,lv-mkt-app,172.22.23.114,Mac,application
Research,hnl-res-rtr,172.59.231.242,Cisco,router
Security,hnl-sec-rtr,10.106.111.65,Cisco,router
Research,lv-res-app,172.37.45.12,Mac,application
Marketing,phx-mkt-web,172.152.5.203,Linux,web
InformationTech,hnl-it-app,172.233.73.62,Windows,application
Sales,phx-sales-fw,192.41.166.226,Juniper,firewall
Finance,hnl-fin-web,172.98.15.233,Linux,web
Marketing,hnl-mkt-fw,172.94.84.84,Cisco,firewall
Security,hou-sec-app,10.57.217.213,Linux,application
Security,hnl-sec-fw,192.194.193.249,Fortinet,firewall
Security,phx-sec-fw,10.224.206.113,Juniper,firewall
Marketing,hnl-mkt-app,10.147.158.240,Mac,application
InformationTech,hnl-it-rtr,172.38.61.74,Juniper,router
Sales,phx-sales-fw,172.182.13.227,Fortinet,firewall
Sales,lv-sales-sw,172.92.10.148,Brocade,switch
Security,hou-sec-sw,172.248.0.75,Cisco,switch
Finance,lv-fin-web,192.1.189.189,Windows,web
InformationTech,lv-it-db,172.239.31.60,MySQL,database
InformationTech,hnl-it-db,10.16.233.166,Oracle,database
Marketing,hnl-mkt-sw,172.253.118.151,Cisco,switch
Sales,lv-sales-db,10.188.231.11,Oracle,database
Finance,hou-fin-sw,192.66.225.44,Cisco,switch
Finance,phx-fin-app,10.64.60.11,Windows,application
Sales,hnl-sales-web,10.76.50.119,Windows,web
Sales,lv-sales-fw,192.37.121.14,Juniper,firewall
Marketing,hou-mkt-db,10.5.96.48,MariaDB,database
Security,phx-sec-rtr,172.152.219.148,Juniper,router
Finance,hnl-fin-rtr,10.229.149.51,Fortinet,router
Finance,hnl-fin-db,192.112.4.41,Oracle,database
InformationTech,lv-it-fw,172.76.215.17,Checkpoint,firewall
Marketing,lv-mkt-db,172.42.153.187,MariaDB,database
Research,ny-res-fw,192.250.29.243,Cisco,firewall
Security,la-sec-sw,172.46.97.47,Cisco,switch
Marketing,la-mkt-db,10.79.170.27,Oracle,database
Security,sf-sec-db,192.84.26.185,Postgres,database
Research,sf-res-fw,172.11.180.248,Cisco,firewall
Finance,ny-fin-sw,10.50.216.77,Cisco,switch
Research,ny-res-web,10.200.186.55,Windows,web
Research,sf-res-sw,192.115.218.106,Cisco,switch
Finance,sf-fin-sw,172.106.252.18,Cisco,switch
Security,sf-sec-app,172.37.203.85,Linux,application
InformationTech,sf-it-sw,172.161.102.153,Fortinet,switch
Marketing,la-mkt-sw,192.149.18.138,Brocade,switch
Research,la-res-web,172.19.62.57,Linux,web
Sales,sea-sales-fw,10.170.113.160,Fortinet,firewall
InformationTech,sf-it-sw,10.2.223.15,Fortinet,switch
Sales,sea-sales-app,10.233.208.145,Windows,application
Marketing,sea-mkt-rtr,10.96.204.169,Fortinet,router
Marketing,sea-mkt-web,10.175.32.209,Windows,web
Marketing,la-mkt-fw,192.237.125.234,Cisco,firewall
Security,ny-sec-app,172.20.141.44,Linux,application
Marketing,ny-mkt-rtr,172.84.7.18,Fortinet,router
InformationTech,sea-it-fw,172.59.125.124,Fortinet,firewall
Security,ny-sec-fw,192.69.130.40,Juniper,firewall
Marketing,la-mkt-rtr,10.145.206.37,Cisco,router
Finance,la-fin-rtr,172.30.98.42,Fortinet,router
Sales,ny-sales-db,192.211.243.218,Oracle,database
Research,sea-res-fw,172.194.45.47,Cisco,firewall
Sales,la-sales-fw,192.80.171.107,Fortinet,firewall
Research,sf-res-web,172.138.107.116,Windows,web
Security,sf-sec-sw,10.137.172.188,Cisco,switch
InformationTech,la-it-sw,10.8.134.40,Brocade,switch
Finance,ny-fin-sw,172.170.196.71,Juniper,switch
Marketing,sf-mkt-fw,10.117.143.48,Checkpoint,firewall
Marketing,sea-mkt-sw,10.180.142.84,Fortinet,switch
Research,sf-res-db,172.174.33.138,MS SQL,database
Finance,sea-fin-web,192.152.67.246,Linux,web
Marketing,ny-mkt-web,192.120.226.90,Mac,web
Sales,ny-sales-db,10.243.253.182,MS SQL,database
InformationTech,sea-it-fw,172.215.67.65,Fortinet,firewall
Research,ny-res-fw,172.48.210.135,Juniper,firewall
Research,la-res-rtr,10.32.138.52,Cisco,router
Security,la-sec-fw,192.74.149.175,Cisco,firewall
Research,sea-res-web,192.241.12.40,Linux,web
Finance,sea-fin-web,192.65.228.176,Mac,web
Sales,ny-sales-rtr,192.223.248.117,Juniper,router
Finance,la-fin-db,172.195.43.231,MySQL,database
InformationTech,sf-it-app,172.34.39.125,Windows,application
InformationTech,la-it-db,172.63.174.252,Oracle,database
Marketing,sf-mkt-app,172.92.250.38,Windows,application
Marketing,ny-mkt-db,172.136.6.121,MS SQL,database
Security,ny-sec-fw,172.21.81.135,Fortinet,firewall
Research,sf-res-db,172.189.59.35,MariaDB,database
Sales,la-sales-fw,172.25.52.202,Juniper,firewall
InformationTech,sea-it-sw,10.141.101.219,Cisco,switch
InformationTech,sf-it-db,192.138.247.116,Postgres,database
Research,la-res-db,192.82.112.18,Postgres,database
Research,ny-res-app,10.25.180.51,Linux,application
Sales,ny-sales-web,172.35.155.62,Linux,web
Security,ny-sec-db,172.196.243.165,MySQL,database
Sales,ny-sales-sw,172.229.123.88,Juniper,switch
Finance,sea-fin-app,10.216.49.211,Linux,application
InformationTech,ny-it-rtr,192.17.44.182,Fortinet,router
Sales,ny-sales-web,192.153.112.244,Mac,web
Security,sea-sec-fw,10.17.68.235,Cisco,firewall
InformationTech,sf-it-app,172.59.18.180,Mac,application
Research,sf-res-db,172.126.243.145,Postgres,database
InformationTech,ny-it-db,172.248.252.16,Oracle,database
Sales,sf-sales-rtr,192.244.66.24,Juniper,router
Sales,sea-sales-rtr,192.183.128.172,Cisco,router
Marketing,sf-mkt-app,192.151.251.50,Windows,application
Marketing,sea-mkt-web,172.164.33.94,Mac,web
Marketing,sf-mkt-rtr,192.159.198.240,Cisco,router
Research,la-res-rtr,192.226.141.249,Fortinet,router
Sales,ny-sales-rtr,192.239.199.42,Juniper,router
Security,la-sec-app,10.203.154.153,Windows,application
Security,sea-sec-rtr,10.185.88.39,Cisco,router
Finance,sf-fin-web,172.116.98.155,Windows,web
Finance,sea-fin-db,172.227.199.229,MS SQL,database
Security,sf-sec-db,192.11.178.7,Oracle,database
InformationTech,ny-it-sw,172.252.134.144,Brocade,switch
Marketing,sea-mkt-fw,10.53.159.222,Cisco,firewall
InformationTech,ny-it-rtr,172.141.107.90,Juniper,router
Security,sea-sec-web,192.112.24.181,Mac,web
Research,sf-res-rtr,192.87.152.35,Juniper,router
Finance,sf-fin-rtr,192.79.101.46,Juniper,router
Security,ny-sec-web,10.11.30.167,Linux,web
Research,ny-res-web,172.9.43.153,Mac,web
Marketing,la-mkt-sw,10.213.18.66,Juniper,switch
InformationTech,sf-it-sw,192.96.216.81,Fortinet,switch
Sales,sea-sales-app,172.93.69.131,Linux,application
Sales,ny-sales-sw,172.144.223.99,Cisco,switch
InformationTech,la-it-web,192.195.83.26,Linux,web
Marketing,ny-mkt-web,10.176.211.214,Mac,web
Finance,ny-fin-web,172.53.20.216,Windows,web
Finance,sea-fin-sw,192.31.175.150,Fortinet,switch
Security,sf-sec-app,172.205.150.88,Linux,application
Marketing,sea-mkt-sw,10.208.22.8,Brocade,switch
InformationTech,la-it-web,10.101.247.186,Mac,web
Security,sea-sec-web,192.5.155.84,Windows,web
Sales,sea-sales-fw,10.244.87.52,Fortinet,firewall
Finance,sea-fin-web,172.218.158.199,Linux,web
Finance,sea-fin-web,10.196.34.40,Windows,web
Marketing,sea-mkt-app,192.11.130.244,Mac,application
Sales,sea-sales-sw,192.250.46.149,Juniper,switch
Finance,la-fin-fw,172.153.214.141,Fortinet,firewall
Sales,sf-sales-fw,172.130.158.144,Cisco,firewall
Security,sf-sec-web,192.112.113.60,Linux,web
Security,sf-sec-sw,172.216.137.221,Brocade,switch
Sales,ny-sales-sw,172.240.243.193,Cisco,switch
Marketing,ny-mkt-app,172.64.13.153,Windows,application
Sales,sf-sales-sw,10.224.192.165,Juniper,switch
Sales,ny-sales-fw,192.152.16.221,Cisco,firewall
Research,ny-res-sw,10.85.73.35,Cisco,switch
Security,sf-sec-sw,10.143.159.131,Juniper,switch
Sales,ny-sales-db,192.228.204.125,MariaDB,database
Research,la-res-fw,10.114.137.87,Fortinet,firewall
InformationTech,sea-it-db,172.93.126.23,Oracle,database
Marketing,sea-mkt-fw,172.216.99.71,Fortinet,firewall
Marketing,sf-mkt-rtr,192.23.22.122,Cisco,router
Finance,ny-fin-sw,172.194.226.46,Brocade,switch
Security,sea-sec-db,10.195.236.250,MySQL,database
Sales,ny-sales-app,10.219.199.218,Mac,application
Security,la-sec-fw,192.112.247.49,Checkpoint,firewall
Research,ny-res-fw,10.144.3.213,Checkpoint,firewall
Finance,ny-fin-app,172.139.137.42,Windows,application
